periodo,fecha,cve_ent,Estado,Sigla,sexo,tipo_paciente,positivos,fallecimientos,sospechosos,merge
2020-04-14,14/04/2020,6,Colima,Col,1,2,1,0,5,0
2020-04-14,14/04/2020,6,Colima,Col,2,1,3,0,9,0
2020-04-14,14/04/2020,6,Colima,Col,2,2,2,0,6,0
2020-04-14,14/04/2020,7,Chiapas,Chis,1,1,8,0,25,0
2020-04-14,14/04/2020,7,Chiapas,Chis,1,2,3,0,7,0
2020-04-14,14/04/2020,7,Chiapas,Chis,2,1,24,0,31,0
2020-04-14,14/04/2020,7,Chiapas,Chis,2,2,10,3,9,0
2020-04-14,14/04/2020,8,Chihuahua,Chih,1,1,7,0,46,0
2020-04-14,14/04/2020,8,Chihuahua,Chih,1,2,17,5,45,0
2020-04-14,14/04/2020,8,Chihuahua,Chih,2,1,9,0,41,0
2020-04-14,14/04/2020,8,Chihuahua,Chih,2,2,37,11,51,0
2020-04-14,14/04/2020,9,Ciudad de México,CDMX,1,1,393,3,701,0
2020-04-14,14/04/2020,9,Ciudad de México,CDMX,1,2,152,18,164,0
2020-04-14,14/04/2020,9,Ciudad de México,CDMX,2,1,486,7,570,0
2020-04-14,14/04/2020,9,Ciudad de México,CDMX,2,2,343,56,245,0
2020-04-14,14/04/2020,10,Durango,Dgo,1,1,6,0,35,0
2020-04-14,14/04/2020,10,Durango,Dgo,1,2,2,1,20,0
2020-04-14,14/04/2020,10,Durango,Dgo,2,1,6,0,28,0
2020-04-14,14/04/2020,10,Durango,Dgo,2,2,3,2,6,0
2020-04-14,14/04/2020,11,Guanajuato,Gto,1,1,37,0,78,0
2020-04-14,14/04/2020,11,Guanajuato,Gto,1,2,12,1,13,0
2020-04-14,14/04/2020,11,Guanajuato,Gto,2,1,31,0,60,0
2020-04-14,14/04/2020,11,Guanajuato,Gto,2,2,11,4,21,0
2020-04-14,14/04/2020,12,Guerrero,Gro,1,1,27,0,65,0
2020-04-14,14/04/2020,12,Guerrero,Gro,1,2,6,2,10,0
2020-04-14,14/04/2020,12,Guerrero,Gro,2,1,32,0,51,0
2020-04-14,14/04/2020,12,Guerrero,Gro,2,2,26,4,17,0
2020-04-14,14/04/2020,13,Hidalgo,Hgo,1,1,16,0,18,0
2020-04-14,14/04/2020,13,Hidalgo,Hgo,1,2,6,0,4,0
2020-04-14,14/04/2020,13,Hidalgo,Hgo,2,1,20,2,16,0
2020-04-14,14/04/2020,13,Hidalgo,Hgo,2,2,22,6,7,0
2020-04-14,14/04/2020,14,Jalisco,Jal,1,1,59,1,322,0
2020-04-14,14/04/2020,14,Jalisco,Jal,1,2,6,1,31,0
2020-04-14,14/04/2020,14,Jalisco,Jal,2,1,79,1,215,0
2020-04-14,14/04/2020,14,Jalisco,Jal,2,2,22,8,35,0
2020-04-14,14/04/2020,15,México,Mex,1,1,202,1,432,0
2020-04-14,14/04/2020,15,México,Mex,1,2,113,12,182,0
2020-04-14,14/04/2020,15,México,Mex,2,1,232,1,344,0
2020-04-14,14/04/2020,15,México,Mex,2,2,212,30,299,0
2020-04-14,14/04/2020,16,Michoacán,Mich,1,1,21,0,70,0
2020-04-14,14/04/2020,16,Michoacán,Mich,1,2,10,3,24,0
2020-04-14,14/04/2020,16,Michoacán,Mich,2,1,16,2,46,0
2020-04-14,14/04/2020,16,Michoacán,Mich,2,2,21,6,25,0
2020-04-14,14/04/2020,17,Morelos,Mor,1,1,14,0,26,0
2020-04-14,14/04/2020,17,Morelos,Mor,1,2,10,3,17,0
2020-04-14,14/04/2020,17,Morelos,Mor,2,1,18,1,19,0
2020-04-14,14/04/2020,17,Morelos,Mor,2,2,16,5,18,0
2020-04-14,14/04/2020,18,Nayarit,Nay,1,1,13,0,19,0
2020-04-14,14/04/2020,18,Nayarit,Nay,1,2,5,3,7,0
2020-04-14,14/04/2020,18,Nayarit,Nay,2,1,6,0,15,0
2020-04-14,14/04/2020,18,Nayarit,Nay,2,2,4,1,7,0
2020-04-14,14/04/2020,19,Nuevo León,NL,1,1,39,0,793,0
2020-04-14,14/04/2020,19,Nuevo León,NL,1,2,5,1,47,0
2020-04-14,14/04/2020,19,Nuevo León,NL,2,1,78,1,990,0
