yearm,CVE_construccion,anio,mes,month,codigo_actividad,descripcion_actividad,codigo_entidad,entidad,vp_total_entidad,unidad_medida,estatus,Tipo,vp_total_entidad_1
01/04/2011,1,2011,4,abril,23,Construcción,14,Jalisco,929734.75375,Miles de pesos constantes,Cifras definitivas,Edificación,903410.139794
01/05/2011,1,2011,5,mayo,23,Construcción,14,Jalisco,1051283.471035,Miles de pesos constantes,Cifras definitivas,Edificación,871410.154722
01/06/2011,1,2011,6,junio,23,Construcción,14,Jalisco,1010880.582291,Miles de pesos constantes,Cifras definitivas,Edificación,1021504.954131
01/07/2011,1,2011,7,julio,23,Construcción,14,Jalisco,1182973.518502,Miles de pesos constantes,Cifras definitivas,Edificación,989754.3221549999
01/08/2011,1,2011,8,agosto,23,Construcción,14,Jalisco,938109.673603,Miles de pesos constantes,Cifras definitivas,Edificación,1008628.64547
01/09/2011,1,2011,9,septiembre,23,Construcción,14,Jalisco,1139368.162428,Miles de pesos constantes,Cifras definitivas,Edificación,1110467.425724
01/10/2011,1,2011,10,octubre,23,Construcción,14,Jalisco,1066682.204928,Miles de pesos constantes,Cifras definitivas,Edificación,1064425.835902
01/11/2011,1,2011,11,noviembre,23,Construcción,14,Jalisco,1172419.980238,Miles de pesos constantes,Cifras definitivas,Edificación,1135772.756765
01/12/2011,1,2011,12,diciembre,23,Construcción,14,Jalisco,1180727.778439,Miles de pesos constantes,Cifras definitivas,Edificación,1131733.208928
01/01/2012,1,2012,1,enero,23,Construcción,14,Jalisco,927679.883502,Miles de pesos constantes,Cifras definitivas,Edificación,1043771.232082
01/02/2012,1,2012,2,febrero,23,Construcción,14,Jalisco,902396.562389,Miles de pesos constantes,Cifras definitivas,Edificación,1039895.682659
01/03/2012,1,2012,3,marzo,23,Construcción,14,Jalisco,702289.7109900001,Miles de pesos constantes,Cifras definitivas,Edificación,843757.7200119999
01/04/2012,1,2012,4,abril,23,Construcción,14,Jalisco,744477.457697,Miles de pesos constantes,Cifras definitivas,Edificación,929734.75375
01/05/2012,1,2012,5,mayo,23,Construcción,14,Jalisco,1300232.419255,Miles de pesos constantes,Cifras definitivas,Edificación,1051283.471035
01/06/2012,1,2012,6,junio,23,Construcción,14,Jalisco,1281923.181109,Miles de pesos constantes,Cifras definitivas,Edificación,1010880.582291
01/07/2012,1,2012,7,julio,23,Construcción,14,Jalisco,1732946.880124,Miles de pesos constantes,Cifras definitivas,Edificación,1182973.518502
01/08/2012,1,2012,8,agosto,23,Construcción,14,Jalisco,1673602.414099,Miles de pesos constantes,Cifras definitivas,Edificación,938109.673603
01/09/2012,1,2012,9,septiembre,23,Construcción,14,Jalisco,1263679.534086,Miles de pesos constantes,Cifras definitivas,Edificación,1139368.162428
01/10/2012,1,2012,10,octubre,23,Construcción,14,Jalisco,1160909.273795,Miles de pesos constantes,Cifras definitivas,Edificación,1066682.204928
01/11/2012,1,2012,11,noviembre,23,Construcción,14,Jalisco,1207858.277365,Miles de pesos constantes,Cifras definitivas,Edificación,1172419.980238
01/12/2012,1,2012,12,diciembre,23,Construcción,14,Jalisco,1288895.484103,Miles de pesos constantes,Cifras definitivas,Edificación,1180727.778439
01/01/2013,1,2013,1,enero,23,Construcción,14,Jalisco,898065.650635,Miles de pesos constantes,Cifras definitivas,Edificación,927679.883502
01/02/2013,1,2013,2,febrero,23,Construcción,14,Jalisco,930201.293958,Miles de pesos constantes,Cifras definitivas,Edificación,902396.562389
01/03/2013,1,2013,3,marzo,23,Construcción,14,Jalisco,1103214.06387,Miles de pesos constantes,Cifras definitivas,Edificación,702289.7109900001
01/04/2013,1,2013,4,abril,23,Construcción,14,Jalisco,1232978.423467,Miles de pesos constantes,Cifras definitivas,Edificación,744477.457697
01/05/2013,1,2013,5,mayo,23,Construcción,14,Jalisco,1099640.900375,Miles de pesos constantes,Cifras definitivas,Edificación,1300232.419255
01/06/2013,1,2013,6,junio,23,Construcción,14,Jalisco,1074410.577928,Miles de pesos constantes,Cifras definitivas,Edificación,1281923.181109
